id,name,Gross,company
496,Ben is Back,3703184,RAtt.
497,Gosnell: The Trial of America's Biggest Serial Killer,3679893,GVN
498,Indivisible,3511417,PFR
499,The Oscar Nominated Short Films 2018,3508777,Shrts.
500,Disobedience,3498782,BST
501,First Reformed,3448256,A24
502,"Juliet, Naked",3444895,RAtt.
503,Bad Samaritan,3435047,Electric
504,7 Days in Entebbe,3326885,Focus
505,Shoplifters,3313513,Magn.
506,2001: A Space Odyssey (2018 re-release),3236321,WB
507,The Sisters Brothers,3143056,Annapurna
508,Thoroughbreds,3072605,Focus
509,Whitney,3026351,RAtt.
510,Rachel Hollis Presents: Made for More,2999134,Fathom
511,American Animals,2856954,Orch.
512,God Bless the Broken Road,2846257,Free
513,La Boda de Valentina,2783739,PNT
514,The Fall of the American Empire,2736093,EOne
515,Bharat Ane Nenu,2663090,GrtIndia
516,Qu? Le?n (What A Lion),2607916,Spanglish
517,You Were Never Really Here,2528078,Amazon
518,Suspiria,2483472,Amazon
519,The Rider,2419031,SPC
520,Mary and the Witch's Flower,2418404,GK
521,Hearts Beat Loud,2386251,G&S
522,1991,2342264,EOne
523,Papillon (2018),2335896,BST
524,At Eternity's Gate,2294915,CBS
525,Puzzle,2032018,SPC
526,Met Opera: Tosca,2023749,Fathom
527,A Fantastic Woman,2020988,SPC
528,Pope Francis - A Man of His Word,2008385,Focus
529,Assassination Nation,2005142,Neon
530,The Front Runner,2000105,Sony
531,Detective Chinatown 2,1983984,WB
532,Indian Horse,1893758,Elevation
533,MET Opera: La Traviata,1882931,Fathom
534,Racetime,1875283,EOne
535,Moses,1807117,Fathom
536,Met Opera: La Boh?me (2018),1764201,Fathom
537,Race 3,1690861,Yash
538,Pad Man,1670192,Sony
539,Capernaum,1661096,SPC
540,A Private War,1633208,Aviron
541,MET Opera: Aida,1595902,Fathom
542,The Bookshop,1588150,Greenwich
543,Operation Red Sea,1543547,WGUSA
544,Destroyer,1533324,Annapurna
545,Thugs of Hindostan,1449848,Yash
546,Don't Worry He Won't Get Far on Foot,1441705,Amazon
547,Princess Mononoke - Studio Ghibli (2018),1423877,Fathom
548,Finding Your Feet,1418682,RAtt.
549,Little Women (2018),1379497,Pinnacle
550,102 Not Out,1343797,Sony
551,Baaghi 2,1319579,FIP
552,Never Look Away,1303198,SPC
553,The Metropolitan Opera: Cosi Fan Tutte (2018),1302949,Fathom
554,Maria by Callas,1267301,SPC
555,McQueen,1257275,BST
556,The Seagull,1252960,SPC
557,Met Opera: Cendrillon,1243306,Fathom
558,Mandy,1214525,RLJ
559,Grease (40th Anniversary),1213413,Fathom
560,Beautifully Broken,1208925,AAE
561,An Interview with God,1201434,Fathom
562,Along with the Gods: The Last 49 Days,1200246,WGUSA
563,MET Opera: Samson Et Dalila,1195758,Fathom
564,Andhadhun,1193046,Eros
565,Spirited Away - Studio Ghibli Fest 2018,1175067,Fathom
566,The Metropolitan Opera: Luisa Miller,1166858,Fathom
567,Lean on Pete,1163056,A24
